firstname,lastname,gender
Anani,Wang,1
Kwame,Ofori-Atta,1
Serge,Li,1
Wanda,Obodai,0
Rémy,Simon,1
Paulin,Bakari,1
Régis,Novak,1
Sylvain,Johnson,1
Abdel-Aziz,Esposito,1
Mark,Dogbe,1
Irene,Patel,0
Fleur,Silva,0
Katherine,Ayite,0
Cecilia,Suzuki,0
Gaston,Ofori,1
Marie,Bangoura,0
Hussein,Owusu,1
Olympe,Moussa,0
Maëlys,Traoré,0
Koku,Diawara,1
Alice,Schmidt,0
Addison,Gupta,0
Baptiste,Gbikpi,1
Georges,Awuku,1
Inès,Taylor,0
Cecile,Bakari,0
Marion,Zouma,0
Victoria,Ofosu,0
Marie,Andersen,0
Ludovic,Lopez,1
Tunde,Sagna,1
Marcus,Takahashi,1
Willy,Baah,1
Erik,Garcia,1
Antoine,Adomako,1
Vincent,Soglo,1
Mia,Dossou,0
Jocelyn,Amevor,1
Charles,Andersen,1
Nora,Akoto,0
Mark,Gonzalez,1
Ursula,Sagna,0
Laurent,Dossou,1
Médar,Adzaho,1
Komi,Obodai,1
Ulysse,Kouadio,1
Théo,Lawson,1
Fabrice,Awuku,1
Adwoa,Müller,0
Joséphine,Nyaku,0
Grace,Ivanov,0
Paisley,Khan,0
Paul,Larsson,1
Perrine,Ayite,0
Martine,Lawson,0
Zinnia,Hounnou,0
Olympe,Jones,0
David,Sarr,1
Serge,Zoungrana,1
Akua,Dogbe,0
Victoria,Gbikpi,0
Zara,Azamati,0
Rachelle,Wilson,0
Cheikh,Batali,1
Aaliyah,Tetteh,0
Katherine,Sokpor,0
Patience,Schneider,0
Wendie,Martinez,0
Hussein,Nayo,1
Fleur,Davis,0
Justine,Sagna,0
Ursule,Smith,0
Serena,Akakpo,0
Jean,Amekudzi,1
José,Gbikpi,1
Komi,Moussa,1
Médar,Watanabe,1
Nicolas,Watanabe,1
Scarlett,Diawara,0
Koffi,Diabre,1
José,Lawson,1
IDRISSOU,Foli,1
Akossiwa,Obodai,0
Scarlett,Morquette,0
Ophelie,Brown,0
Valentine,Boateng,0
Cecilia,Zoungrana,0
Mansan,Kouassi,0
Agbeko,Silva,1
Mansan,Nayo,0
Audrey,Dzokoto,0
Olympe,Weber,0
Carlos,Abliza,1
Chloe,Petrov,0
Yasmine,Attipoe,0
Komla,Zongo,1
Akakpo,Ferrari,1
Hugues,Gbedemah,1
Kwadwo,Atsu,1
Fatoumata,Jones,0
Camila,Taylor,0
Juliette,Johnson,0
Abdoulaye,Ahove,1
Téléky,Asamoah,1
Rachelle,Sokpor,0
Wendy,Agbodeka,0
William,Toure,1
Séraphine,Agbobli,0
Martine,Müller,0
Chike,Koffi,1
Cédric,Chen,1
Hassan,Zoungrana,1
Xaviera,Ayite,0
Lucie,Akoto,0
Abdel-Aziz,Hansen,1
Samuel,Quist,1
Christophe,Jones,1
Axelle,Andersen,0
Catherine,Takahashi,0
Gilles,Koulibaly,1
Daniel,Rossi,1
Samuel,Soglo,1
Atsuko,Djondo,0
Yvette,Rodriguez,0
Peter,Amouzou,1
Ditoma,Kowalski,1
Perrine,Akakpo,0
Wanda,Toure,0
Oluwaseun,Mensah,1
Pascal,Takahashi,1
Lars,Moussa,1
Lucie,Durand,0
Richard,Zhang,1
Dodji,Singh,1
Marie,Quist,0
Addison,Mensah,0
Eliana,Gonzalez,0
Madeline,Tanaka,0
Léa,Nkrumah,0
Danielle,Bangoura,0
Savannah,Traoré,0
Komivi,Atsu,1
Juan,Adzaho,1
Ekoue,Ivanov,1
Noémie,Weber,0
Yasmine,Sokpor,0
Madison,Fischer,0
Patrick,Esposito,1
Sarah,Andersen,0
Addison,Russo,0
Mawuli,Lawson,1
Thierry,Boateng,1
Mia,Boateng,0
Julien,Obodai,1
Danielle,Lefebvre,0
Noah,Djondo,1
Abdoulaye,Ofosu,1
Zelda,Amegantse,0
Kwame,Nkrumah,1
Tunde,Diawara,1
Yasmine,Moussa,0
Ezechiel,Smith,1
Youssef,Williams,1
Kwadwo,Akakpo,1
Victoria,Novak,0
Joseph,Rossi,1
Adjoua,Sarr,1
Kossi,Schmidt,1
Michel,Kouassi,1
Kodjo,Agbobli,1
Kodjo,Zouma,1
Emeka,Johnson,1
Mazamesso,Ivanov,1
Lucie,Kouadio,0
Zélie,Novak,0
Irene,Moussa,0
Marion,Zhang,0
Élodie,Owusu,0
Rémy,Johansson,1
Adeline,Khan,0
Tiphaine,Patel,0
Fabrice,Leroy,1
Wei,Johansson,1
Penelope,Andersen,0
Jorge,Kowalski,1
Katia,Ackah,0
Komivi,Boateng,1
Perrine,Takyi,0
Adjoa,Obodai,0
Hiroshi,Obodai,1
Ade,Sato,1
Savannah,Agyeman,0
Miguel,Owusu,1
Maïwenn,Agyeman,0
Marine,Danquah,0
Hiroshi,Williams,1
Luc,Lopez,1
Tania,Dossou,0
Thomas,Wilson,1
Mia,Baah,0
Violette,Ahove,0
Sylvain,Petrov,1
Victor,Gupta,1
Ivan,Adomako,1
Elise,Akakpo-Doe,0
Tania,Toure,0
Emily,Wilson,0
Léa,Attipoe,0
Séraphine,Ivanov,0
Chloe,Morquette,0
Bassooma,Hansen,1
Diane,Owusu,0
Sven,Baah,1
Yasmine,Pereira,0
Ursule,Sharma,0
Zacharie,Quist,1
Lydia,Rodriguez,0
Zara,Johansson,0
Fiosron,Kowalski,0
Sabrina,Ansah,0
Mamadou,Tchamye,1
Kodjo,Boateng,1
Isabelle,Agbobli,0
Adeline,Amevor,0
Amandine,Takahashi,0
Isabella,Diabre,0
Thomas,Miller,1
Noémie,Leroy,0
Bella,Santos,0
Erik,Miller,1
Mahmoud,Tchamye,1
Éléonore,Ferrari,0
Johan,Toure,1
Jorge,Johansson,1
Antoine,Obodai,1
Sophie,Sarr,0
